Year,Cause Name,State,Age-adjusted Death Rate
2016,Unintentional injuries,Alabama,55.5
2016,Unintentional injuries,Alaska,63.1
2016,Unintentional injuries,Arizona,54.2
2016,Unintentional injuries,Arkansas,51.8
2016,Unintentional injuries,California,32.0
2016,Unintentional injuries,Colorado,51.2
2016,Unintentional injuries,Connecticut,50.3
2016,Unintentional injuries,Delaware,52.4
2016,Unintentional injuries,District of Columbia,58.3
2016,Unintentional injuries,Florida,54.9
2016,Unintentional injuries,Georgia,45.8
2016,Unintentional injuries,Hawaii,35.3
2016,Unintentional injuries,Idaho,49.5
2016,Unintentional injuries,Illinois,41.0
2016,Unintentional injuries,Indiana,51.6
2016,Unintentional injuries,Iowa,45.8
2016,Unintentional injuries,Kansas,45.7
2016,Unintentional injuries,Kentucky,71.0
2016,Unintentional injuries,Louisiana,57.4
2016,Unintentional injuries,Maine,62.4
2016,Unintentional injuries,Maryland,35.7
2016,Unintentional injuries,Massachusetts,52.8
2016,Unintentional injuries,Michigan,50.5
2016,Unintentional injuries,Minnesota,43.8
2016,Unintentional injuries,Mississippi,59.2
2016,Unintentional injuries,Missouri,57.0
2016,Unintentional injuries,Montana,54.1
2016,Unintentional injuries,Nebraska,37.0
2016,Unintentional injuries,Nevada,46.0
2016,Unintentional injuries,New Hampshire,66.6
2016,Unintentional injuries,New Jersey,40.8
2016,Unintentional injuries,New Mexico,69.5
2016,Unintentional injuries,New York,34.2
2016,Unintentional injuries,North Carolina,52.2
2016,Unintentional injuries,North Dakota,45.4
2016,Unintentional injuries,Ohio,66.6
2016,Unintentional injuries,Oklahoma,64.1
2016,Unintentional injuries,Oregon,46.0
2016,Unintentional injuries,Pennsylvania,61.8
2016,Unintentional injuries,Rhode Island,56.6
2016,Unintentional injuries,South Carolina,58.9
2016,Unintentional injuries,South Dakota,53.4
2016,Unintentional injuries,Tennessee,61.1
2016,Unintentional injuries,Texas,38.6
2016,Unintentional injuries,Utah,43.8
2016,Unintentional injuries,Vermont,54.8
2016,Unintentional injuries,Virginia,42.4
2016,Unintentional injuries,Washington,41.4
2016,Unintentional injuries,West Virginia,89.7
2016,Unintentional injuries,Wisconsin,55.6
2016,Unintentional injuries,Wyoming,61.9
2016,Alzheimer's disease,Alabama,45.0
2015,Alzheimer's disease,Alabama,41.8
2014,Alzheimer's disease,Alabama,35.3
2013,Alzheimer's disease,Alabama,26.7
2012,Alzheimer's disease,Alabama,27.2
2011,Alzheimer's disease,Alabama,29.7
2010,Alzheimer's disease,Alabama,31.2
2009,Alzheimer's disease,Alabama,31.6
2008,Alzheimer's disease,Alabama,32.1
2007,Alzheimer's disease,Alabama,32.6
2006,Alzheimer's disease,Alabama,32.7
2005,Alzheimer's disease,Alabama,33.4
2004,Alzheimer's disease,Alabama,31.4
2003,Alzheimer's disease,Alabama,28.8
2002,Alzheimer's disease,Alabama,27.0
2001,Alzheimer's disease,Alabama,25.1
2000,Alzheimer's disease,Alabama,20.4
1999,Alzheimer's disease,Alabama,17.8
2016,Alzheimer's disease,Alaska,25.8
2015,Alzheimer's disease,Alaska,16.7
2014,Alzheimer's disease,Alaska,17.2
2013,Alzheimer's disease,Alaska,18.9
2012,Alzheimer's disease,Alaska,27.2
2011,Alzheimer's disease,Alaska,20.5
2010,Alzheimer's disease,Alaska,25.9
2009,Alzheimer's disease,Alaska,21.5
2008,Alzheimer's disease,Alaska,27.0
2007,Alzheimer's disease,Alaska,22.4
2006,Alzheimer's disease,Alaska,25.9
2005,Alzheimer's disease,Alaska,22.2
2004,Alzheimer's disease,Alaska,18.0
2003,Alzheimer's disease,Alaska,22.9
2002,Alzheimer's disease,Alaska,25.8
2001,Alzheimer's disease,Alaska,18.9
2000,Alzheimer's disease,Alaska,21.5
1999,Alzheimer's disease,Alaska,11.9
2016,Alzheimer's disease,Arizona,35.8
2015,Alzheimer's disease,Arizona,35.8
2014,Alzheimer's disease,Arizona,31.6
2013,Alzheimer's disease,Arizona,31.7
2012,Alzheimer's disease,Arizona,30.0
2011,Alzheimer's disease,Arizona,33.7
2010,Alzheimer's disease,Arizona,35.3
2009,Alzheimer's disease,Arizona,32.7
2008,Alzheimer's disease,Arizona,34.0
2007,Alzheimer's disease,Arizona,34.2
2006,Alzheimer's disease,Arizona,35.8
2005,Alzheimer's disease,Arizona,33.0
2004,Alzheimer's disease,Arizona,31.6
2003,Alzheimer's disease,Arizona,32.9
2002,Alzheimer's disease,Arizona,28.7
2001,Alzheimer's disease,Arizona,22.7
2000,Alzheimer's disease,Arizona,22.0
1999,Alzheimer's disease,Arizona,20.8
2016,Alzheimer's disease,Arkansas,41.3
2015,Alzheimer's disease,Arkansas,41.5
2014,Alzheimer's disease,Arkansas,34.8
2013,Alzheimer's disease,Arkansas,27.2
2012,Alzheimer's disease,Arkansas,27.9
2011,Alzheimer's disease,Arkansas,30.4
2010,Alzheimer's disease,Arkansas,29.6
2009,Alzheimer's disease,Arkansas,27.8
2008,Alzheimer's disease,Arkansas,28.4
2007,Alzheimer's disease,Arkansas,26.5
2006,Alzheimer's disease,Arkansas,25.5
2005,Alzheimer's disease,Arkansas,22.8
2004,Alzheimer's disease,Arkansas,20.9
2003,Alzheimer's disease,Arkansas,18.6
2002,Alzheimer's disease,Arkansas,18.6
2001,Alzheimer's disease,Arkansas,15.3
2000,Alzheimer's disease,Arkansas,14.6
1999,Alzheimer's disease,Arkansas,14.8
2016,Alzheimer's disease,California,36.1
2015,Alzheimer's disease,California,35.7
2014,Alzheimer's disease,California,30.9
2013,Alzheimer's disease,California,30.0
2012,Alzheimer's disease,California,30.0
2011,Alzheimer's disease,California,30.7
2010,Alzheimer's disease,California,30.1
2009,Alzheimer's disease,California,28.1
2008,Alzheimer's disease,California,29.5
2007,Alzheimer's disease,California,25.6
2006,Alzheimer's disease,California,25.3
2005,Alzheimer's disease,California,24.6
2004,Alzheimer's disease,California,22.9
2003,Alzheimer's disease,California,22.0
2002,Alzheimer's disease,California,18.6
2001,Alzheimer's disease,California,17.2
2000,Alzheimer's disease,California,15.8
1999,Alzheimer's disease,California,16.6
2016,Alzheimer's disease,Colorado,34.7
2015,Alzheimer's disease,Colorado,31.3
2014,Alzheimer's disease,Colorado,27.4
2013,Alzheimer's disease,Colorado,27.2
2012,Alzheimer's disease,Colorado,28.4
2011,Alzheimer's disease,Colorado,29.0
2010,Alzheimer's disease,Colorado,31.1
2009,Alzheimer's disease,Colorado,31.4
2008,Alzheimer's disease,Colorado,33.4
2007,Alzheimer's disease,Colorado,28.3
2006,Alzheimer's disease,Colorado,28.1
2005,Alzheimer's disease,Colorado,29.5
2004,Alzheimer's disease,Colorado,26.1
2003,Alzheimer's disease,Colorado,26.5
2002,Alzheimer's disease,Colorado,29.0
2001,Alzheimer's disease,Colorado,26.4
2000,Alzheimer's disease,Colorado,22.6
1999,Alzheimer's disease,Colorado,24.5
2016,Alzheimer's disease,Connecticut,20.3
2015,Alzheimer's disease,Connecticut,19.0
2014,Alzheimer's disease,Connecticut,18.4
2013,Alzheimer's disease,Connecticut,16.2
2012,Alzheimer's disease,Connecticut,16.8
2011,Alzheimer's disease,Connecticut,16.4
2010,Alzheimer's disease,Connecticut,17.1
2009,Alzheimer's disease,Connecticut,16.3
